TrueCount,H17-2deck-30pen,H17-2deck-35pen,H17-2deck-40pen,H17-2deck-45pen,H17-2deck-50pen,H17-2deck-55pen,H17-2deck-60pen,H17-2deck-65pen,H17-2deck-70pen,H17-2deck-75pen,H17-2deck-80pen,H17-6deck-30pen,H17-6deck-35pen,H17-6deck-40pen,H17-6deck-45pen,H17-6deck-50pen,H17-6deck-55pen,H17-6deck-60pen,H17-6deck-65pen,H17-6deck-70pen,H17-6deck-75pen,H17-6deck-80pen,H17-8deck-30pen,H17-8deck-35pen,H17-8deck-40pen,H17-8deck-45pen,H17-8deck-50pen,H17-8deck-55pen,H17-8deck-60pen,H17-8deck-65pen,H17-8deck-70pen,H17-8deck-75pen,H17-8deck-80pen,S17-2deck-30pen,S17-2deck-35pen,S17-2deck-40pen,S17-2deck-45pen,S17-2deck-50pen,S17-2deck-55pen,S17-2deck-60pen,S17-2deck-65pen,S17-2deck-70pen,S17-2deck-75pen,S17-2deck-80pen-EqualBet,S17-6deck-30pen,S17-6deck-35pen,S17-6deck-40pen,S17-6deck-45pen,S17-6deck-50pen,S17-6deck-55pen,S17-6deck-60pen,S17-6deck-65pen,S17-6deck-70pen,S17-6deck-75pen,S17-6deck-80pen,S17-8deck-30pen,S17-8deck-35pen,S17-8deck-40pen,S17-8deck-45pen,S17-8deck-50pen,S17-8deck-55pen,S17-8deck-60pen,S17-8deck-65pen,S17-8deck-70pen,S17-8deck-75pen,S17-8deck-80pen
-19.0,0,0,2,56,181,3056,8634,30359,102086,176595,474786,0,0,0,0,0,0,0,0,29,285,3165,0,0,0,0,0,0,0,0,0,14,307,0,0,3,50,194,3024,8488,29994,102390,177804,476973,0,0,0,0,0,0,0,0,75,819,9190,0,0,0,0,0,0,0,0,0,48,964
-18.5,0,0,2,32,664,4097,15557,59042,106855,312849,510605,0,0,0,0,0,0,0,0,49,477,4242,0,0,0,0,0,0,0,0,0,23,653,0,0,0,37,716,4103,15571,59170,107463,313992,512014,0,0,0,0,0,0,0,7,117,1375,12774,0,0,0,0,0,0,0,0,5,106,1959
-18.0,0,0,17,147,487,3071,15660,77348,211709,345420,869510,0,0,0,0,0,0,0,3,85,901,7531,0,0,0,0,0,0,0,0,3,59,753,0,1,16,171,533,3104,15443,77520,212606,348053,874764,0,0,0,0,0,0,2,9,223,2600,22512,0,0,0,0,0,0,0,0,11,188,2502
-17.5,0,1,26,230,2254,14556,49158,80443,222138,585050,1415208,0,0,0,0,0,0,0,8,181,1300,10813,0,0,0,0,0,0,0,0,6,117,1784,0,1,29,203,2254,14526,49344,80362,222747,586923,1422018,0,0,0,0,0,0,4,29,447,3760,31877,0,0,0,0,0,0,0,0,19,382,5588
-17.0,0,7,39,471,1184,7500,34211,121932,215094,363302,363293,0,0,0,0,0,0,1,19,297,2281,14269,0,0,0,0,0,0,0,3,16,215,2450,0,3,40,503,1262,7457,34345,121833,215749,365034,364566,0,0,0,0,0,0,5,78,1013,6426,42704,0,0,0,0,0,0,0,1,47,676,7476
-16.5,0,3,152,613,5753,33298,51727,143909,396372,626495,1498268,0,0,0,0,0,0,4,61,595,4387,24592,0,0,0,0,0,0,0,1,44,421,4419,0,5,164,614,5949,33532,52030,144511,397693,629427,1505614,0,0,0,0,0,0,15,158,1820,12998,73365,0,0,0,0,0,0,0,2,109,1427,13077
-16.0,0,19,112,1891,5716,19802,91763,153056,416248,656973,1565898,0,0,0,0,0,0,14,125,1006,5756,27728,0,0,0,0,0,0,0,1,95,770,6993,0,16,109,1909,5632,19753,91885,153651,416485,660255,1569632,0,0,0,0,0,4,32,313,2793,17017,82204,0,0,0,0,0,0,0,7,236,2282,21187
-15.5,3,48,432,1621,12414,51819,124150,291224,460012,1092164,1090634,0,0,0,0,0,0,32,220,1808,8856,46618,0,0,0,0,0,0,0,11,182,1445,11727,1,47,472,1634,12208,51552,124420,292684,461401,1097286,1096533,0,0,0,0,0,0,65,641,5397,26640,139871,0,0,0,0,0,0,0,33,526,4570,35714
-15.0,9,70,884,4787,13812,63639,167306,340488,514647,1168795,2543560,0,0,0,0,0,6,50,449,3305,16499,63578,0,0,0,0,0,0,2,27,342,2579,17332,4,49,915,4997,13863,63733,167131,341842,514525,1173493,2560738,0,0,0,0,0,11,162,1286,9930,50310,191817,0,0,0,0,0,0,3,73,918,7899,52421
-14.5,3,248,1300,10093,33617,112733,220395,444426,898295,1304489,1885604,0,0,0,0,0,2,120,857,5273,22759,85251,0,0,0,0,0,0,3,65,658,4608,25462,5,221,1227,10071,34104,113467,219807,446746,900207,1308997,1891576,0,0,0,0,1,30,360,2675,15522,68000,256562,0,0,0,0,0,0,15,161,1961,14155,75649
