File,Strategy,Rules,Action A,Action B,UserValue,DealerValue,TrueCount,Hands Played,Action A EV,Action A Variance,Action B EV,Action B Variance,Best Action
MentorStrategy_Hit_vs_Double_S17.csv,MentorStrategy,S17,Hit,Double,9,2,13,230521,0.072675,0.917233,0.070926,3.705538,Hit
MentorStrategy_Hit_vs_Double_S17.csv,MentorStrategy,S17,Hit,Double,9,2,13.5,234937,0.076242,0.916315,0.079911,3.703937,Double
MentorStrategy_Hit_vs_Double_S17.csv,MentorStrategy,S17,Hit,Double,9,2,16,201980,0.071581,0.917779,0.071532,3.706459,Hit
MentorStrategy_Hit_vs_Double_S17.csv,MentorStrategy,S17,Hit,Double,9,2,16.5,208054,0.083224,0.915483,0.092438,3.701031,Double
MentorStrategy_Hit_vs_Double_S17.csv,MentorStrategy,S17,Hit,Double,9,2,17.5,196323,0.072167,0.917037,0.071963,3.705482,Hit
MentorStrategy_Hit_vs_Double_S17.csv,MentorStrategy,S17,Hit,Double,9,2,18,210836,0.075566,0.916950,0.076989,3.705469,Double
MentorStrategy_Hit_vs_Double_S17.csv,MentorStrategy,S17,Hit,Double,9,2,18.5,186392,0.072240,0.917423,0.068951,3.705834,Hit
MentorStrategy_Hit_vs_Double_S17.csv,MentorStrategy,S17,Hit,Double,9,2,19,195708,0.077892,0.915898,0.083972,3.702414,Double
MentorStrategy_Hit_vs_Double_S17.csv,MentorStrategy,S17,Hit,Double,9,2,19.5,177800,0.070208,0.917112,0.067829,3.705995,Hit
MentorStrategy_Hit_vs_Double_S17.csv,MentorStrategy,S17,Hit,Double,9,2,20,183640,0.078175,0.916879,0.083577,3.705409,Double
MentorStrategy_Hit_vs_Double_S17.csv,MentorStrategy,S17,Hit,Double,9,2,23,168000,0.071589,0.918083,0.070179,3.708765,Hit
MentorStrategy_Hit_vs_Double_S17.csv,MentorStrategy,S17,Hit,Double,9,2,23.5,158674,0.077618,0.916672,0.085710,3.703709,Double
MentorStrategy_Hit_vs_Double_S17.csv,MentorStrategy,S17,Hit,Double,9,2,29.5,134231,0.071951,0.917948,0.069284,3.709334,Hit
MentorStrategy_Hit_vs_Double_S17.csv,MentorStrategy,S17,Hit,Double,9,2,30,111717,0.084401,0.914321,0.097317,3.697611,Double
MentorStrategy_Hit_vs_Double_S17.csv,MentorStrategy,S17,Hit,Double,9,2,35,75010,0.071057,0.918694,0.068951,3.709311,Hit
MentorStrategy_Hit_vs_Double_S17.csv,MentorStrategy,S17,Hit,Double,9,2,35.5,118606,0.084540,0.915563,0.096757,3.702761,Double
MentorStrategy_Hit_vs_Double_S17.csv,MentorStrategy,S17,Hit,Double,9,2,39.5,93895,0.067554,0.918031,0.066180,3.706020,Hit
MentorStrategy_Hit_vs_Double_S17.csv,MentorStrategy,S17,Hit,Double,9,2,40,103396,0.080197,0.915654,0.088108,3.700968,Double
MentorStrategy_Hit_vs_Double_S17.csv,MentorStrategy,S17,Hit,Double,9,2,41.5,79224,0.073425,0.915655,0.070989,3.701211,Hit
MentorStrategy_Hit_vs_Double_S17.csv,MentorStrategy,S17,Hit,Double,9,2,42,85749,0.081365,0.914638,0.088841,3.698226,Double
MentorStrategy_Hit_vs_Double_S17.csv,MentorStrategy,S17,Hit,Double,9,2,47,75666,0.068353,0.917750,0.065789,3.707299,Hit
MentorStrategy_Hit_vs_Double_S17.csv,MentorStrategy,S17,Hit,Double,9,2,47.5,75121,0.107680,0.909626,0.141612,3.685701,Double
MentorStrategy_Hit_vs_Double_S17.csv,MentorStrategy,S17,Hit,Double,9,2,48,70186,0.050908,0.920883,0.030975,3.711975,Hit
MentorStrategy_Hit_vs_Double_S17.csv,MentorStrategy,S17,Hit,Double,9,2,48.5,94081,0.099616,0.911176,0.128910,3.688360,Double
