DealerValue,TrueCount,Insurance Accept EV,Insurance Decline EV,Hands Played,Best Action,EV Diff (Accept-Decline)
11,72,-0.400765,-0.416123,1608622,Accept,0.015359
11,72.5,-0.400111,-0.410019,1956252,Accept,0.009907
11,73,-0.398624,-0.404447,2342959,Accept,0.005823
11,73.5,-0.402520,-0.422279,1534939,Accept,0.019759
11,74,-0.399701,-0.413416,1908025,Accept,0.013715
11,74.5,-0.399060,-0.407325,2312467,Accept,0.008265
11,75,-0.408709,-0.452156,687144,Accept,0.043447
11,75.5,-0.401906,-0.421348,1802217,Accept,0.019442
11,76,-0.399681,-0.412426,2172255,Accept,0.012745
11,76.5,-0.399468,-0.418375,1321366,Accept,0.018906
11,77,-0.410485,-0.466025,319303,Accept,0.055540
11,77.5,-0.400919,-0.419633,1969444,Accept,0.018714
11,78,-0.402294,-0.430098,1357126,Accept,0.027804
11,78.5,-0.400950,-0.423311,1722639,Accept,0.022361
11,79,-0.414782,-0.477059,198468,Accept,0.062277
11,79.5,-0.401529,-0.429754,984134,Accept,0.028225
11,80,-0.402056,-0.428431,1470412,Accept,0.026375
11,80.5,-0.403851,-0.441352,975377,Accept,0.037501
11,81,-0.409659,-0.473832,228462,Accept,0.064173
11,81.5,-0.402406,-0.432460,1168624,Accept,0.030054
11,82,-0.405718,-0.446117,754114,Accept,0.040400
11,82.5,-0.408040,-0.457805,451196,Accept,0.049765
11,83,-0.402402,-0.437618,855249,Accept,0.035216
11,83.5,-0.406992,-0.452315,541944,Accept,0.045323
11,84,-0.410328,-0.464621,314590,Accept,0.054293
11,84.5,-0.402296,-0.442150,696958,Accept,0.039854
11,85,-0.406725,-0.454389,432971,Accept,0.047665
11,85.5,-0.404429,-0.448204,699880,Accept,0.043775
11,86,-0.407804,-0.466080,473752,Accept,0.058276
11,86.5,-0.413265,-0.479484,201667,Accept,0.066218
11,87,-0.404332,-0.451623,486289,Accept,0.047292
11,87.5,-0.410198,-0.468460,283641,Accept,0.058262
11,88,-0.410921,-0.478558,152342,Accept,0.067637
11,88.5,-0.407189,-0.458894,400108,Accept,0.051705
11,89,-0.409981,-0.473868,238484,Accept,0.063887
11,89.5,-0.411493,-0.487434,158248,Accept,0.075941
11,90,-0.406387,-0.462571,293048,Accept,0.056184
11,90.5,-0.413538,-0.481983,244992,Accept,0.068445
11,91,-0.414315,-0.502759,39692,Accept,0.088444
11,91.5,-0.408354,-0.472610,362099,Accept,0.064256
11,92,-0.412744,-0.495021,63864,Accept,0.082276
11,92.5,-0.418486,-0.514130,41189,Accept,0.095644
11,93,-0.406744,-0.474182,274579,Accept,0.067438
11,93.5,-0.418965,-0.505960,66780,Accept,0.086995
11,94,-0.408365,-0.481684,151646,Accept,0.073319
11,94.5,-0.413421,-0.496344,107214,Accept,0.082923
11,95,-0.426689,-0.531307,20986,Accept,0.104617
11,95.5,-0.408997,-0.485925,112436,Accept,0.076928
11,96,-0.413188,-0.504194,89890,Accept,0.091006
11,96.5,-0.413498,-0.524157,6023,Accept,0.110659
11,97,-0.414380,-0.496158,125205,Accept,0.081778
11,97.5,-0.428685,-0.534024,28318,Accept,0.105339
11,98,-0.400983,-0.549509,1323,Accept,0.148526
11,98.5,-0.415696,-0.507060,106158,Accept,0.091364
11,99,-0.424611,-0.546764,7773,Accept,0.122154
11,99.5,-0.604478,-0.641791,67,Accept,0.037313
11,100,-0.418825,-0.516135,84225,Accept,0.097311
11,100.5,-0.458412,-0.556711,529,Accept,0.098299
11,101,-0.403935,-0.505586,35986,Accept,0.101651
11,101.5,-0.406718,-0.522307,25171,Accept,0.115589
11,102.5,-0.420408,-0.525801,43390,Accept,0.105393
11,103,-0.451031,-0.639175,194,Accept,0.188144
11,104,-0.420269,-0.528195,30697,Accept,0.107926
11,105,-0.395833,-0.479167,72,Accept,0.083333
11,105.5,-0.417374,-0.533728,21095,Accept,0.116355
11,106.5,-0.425587,-0.563969,5362,Accept,0.138381
11,107,-0.418646,-0.538030,9348,Accept,0.119384
11,107.5,-0.589286,-0.571429,28,Decline,-0.017857
11,108,-0.419257,-0.548900,9908,Accept,0.129643
11,109,-0.328502,-0.487923,207,Accept,0.159420
11,109.5,-0.438322,-0.565748,6388,Accept,0.127426
11,110,-1.000000,-1.000000,3,Tie,0.000000
11,110.5,-0.435323,-0.606965,402,Accept,0.171642
11,111,-0.428329,-0.592559,3830,Accept,0.164230
11,111.5,-0.692308,-0.769231,13,Accept,0.076923
11,112,-0.452612,-0.636087,823,Accept,0.183475
11,112.5,-0.419312,-0.578836,1890,Accept,0.159524
11,113,-0.468750,-0.625000,32,Accept,0.156250
